Start_Date	End_Date	Event_Name	Event_Display	Event_ID	Event_Banner_URL	Management_ID
2021-03-17	2021-03-30	Strength vs Wisdom	Urgent Crusade Challenge	2362073281	/html/html_info/challenge_battle/img/banner_event_bounty_chg19_small_00.png	2362073281
2021-03-24	2021-03-30	Strength vs Wisdom	Urgent Crusade Challenge	365113723	/html/html_info/challenge_battle/img/banner_event_bounty_chg19_small_01.png	365113723
2021-03-31	2021-04-13	Clash! Water-Squirting Buffalo	Urgent Crusade Challenge	892451625	/html/html_info/challenge_battle/img/banner_event_bounty_chg23_small_00.png	892451625
2021-04-07	2021-04-13	Clash! Water-Squirting Buffalo	Urgent Crusade Challenge	2889411219	/html/html_info/challenge_battle/img/banner_event_bounty_chg23_small_01.png	2889411219
2021-04-14	2021-04-27	Revival of Ancient Monsters	Urgent Crusade Challenge	1639545012	/html/html_info/challenge_battle/img/banner_event_bounty_chg24_small_00.png	1639545012
2021-04-21	2021-04-27	Revival of Ancient Monsters	Urgent Crusade Challenge	4172294414	/html/html_info/challenge_battle/img/banner_event_bounty_chg24_small_01.png	4172294414
2021-04-28	2021-05-18	Glowing Ancient Dragon	Urgent Crusade Challenge	3628245852	/html/html_info/challenge_battle/img/banner_event_bounty_chg22_small_00.png	3628245852
2021-05-05	2021-05-18	Glowing Ancient Dragon	Urgent Crusade Challenge	1095496422	/html/html_info/challenge_battle/img/banner_event_bounty_chg22_small_01.png	1095496422
2021-05-12	2021-05-18	Glowing Ancient Dragon	Urgent Crusade Challenge	911000176	/html/html_info/challenge_battle/img/banner_event_bounty_chg22_small_02.png	911000176
2020-05-22	2020-06-20	Devildom Maze	Challenging Contents (Pending)	1208063558	/html/html_info/challenge_battle/img/banner_event_bounty_chg22_small_02.png	1208063558
2020-06-23	2020-07-13	Arbordile in the Greenish Darkness	Urgent Crusade Challenge	793948727	/html/html_info/challenge_battle/img/banner_event_bounty_CHG26_small_00.png	793948727
2020-06-30	2020-07-13	Arbordile in the Greenish Darkness	Urgent Crusade Challenge	3059475341	/html/html_info/challenge_battle/img/banner_event_bounty_CHG26_small_01.png	3059475341
2021-07-07	2021-07-13	Arbordile in the Greenish Darkness	Urgent Crusade Challenge	3244086043	/html/html_info/challenge_battle/img/banner_event_bounty_CHG26_small_02.png	3244086043
2021-07-14	2021-08-03	Forest Terminator	Urgent Crusade Challenge	2527685087	/html/html_info/challenge_battle/img/banner_event_bounty_CHG27_small_00.png	2527685087
2021-07-21	2021-08-03	Forest Terminator	Urgent Crusade Challenge	262158437	/html/html_info/challenge_battle/img/banner_event_bounty_CHG27_small_01.png	262158437
2021-07-28	2021-08-03	Forest Terminator	Urgent Crusade Challenge	2024212723	/html/html_info/challenge_battle/img/banner_event_bounty_CHG27_small_02.png	2024212723
2021-08-11	2021-09-04	Watch OutâWhen Testing Courage	Urgent Crusade Challenge	3256986178	/html/html_info/challenge_battle/img/banner_event_bounty_CHG28_small_00.png	3256986178
2021-08-18	2021-09-04	Watch OutâWhen Testing Courage	Urgent Crusade Challenge	1529412600	/html/html_info/challenge_battle/img/banner_event_bounty_CHG28_small_01.png	1529412600
2021-08-25	2021-09-04	Watch OutâWhen Testing Courage	Urgent Crusade Challenge	741329774	/html/html_info/challenge_battle/img/banner_event_bounty_CHG28_small_02.png	741329774
2021-05-26	2021-06-15	Fighting the Big Black!	Urgent Crusade Challenge	3277759129	/html/html_info/challenge_battle/img/banner_event_bounty_colaboBtl05b_small_00.png	3277759129
2021-06-02	2021-06-15	Fighting the Big Black!	Urgent Crusade Challenge	1515713315	/html/html_info/challenge_battle/img/banner_event_bounty_colaboBtl05b_small_01.png	1515713315
2021-06-09	2021-06-15	Fighting the Big Black!	Urgent Crusade Challenge	760267701	/html/html_info/challenge_battle/img/banner_event_bounty_colaboBtl05b_small_02.png	760267701
2019-10-15	2019-11-15	FF Collaboration: Titan Crusade	FF Collaboration: Titan Crusade	4291282969	/html/html_info/challenge_battle/img/banner_event_bounty_colaboBtl02_small_00.png	4291282969
2019-10-15	2019-11-15	FF Collaboration: Titan Crusade	FF Collaboration: Titan Crusade	3983697911	/html/html_info/challenge_battle/img/banner_event_bounty_colaboBtl02_small_01.png	3983697911
2019-10-15	2019-11-15	FF Collaboration: Titan Crusade	FF Collaboration: Titan Crusade	219985498	/html/html_info/challenge_battle/img/banner_event_bounty_colaboBtl02_small_02.png	219985498
2019-10-15	2019-11-15	FF Collaboration: Titan Crusade	FF Collaboration: Titan Crusade	3265782185	/html/html_info/challenge_battle/img/banner_event_bounty_colaboBtl04_small_02.png	3265782185
2019-12-14	2020-01-15	The Binding Coil of Bahamut	The Binding Coil of Bahamut	1504756653	/html/html_info/challenge_battle/img/banner_event_bounty_colaboBtl03_small_00.png	1504756653
2019-12-25	2020-01-15	The Binding Coil of Bahamut	The Binding Coil of Bahamut	1258646595	/html/html_info/challenge_battle/img/banner_event_bounty_colaboBtl03_small_01.png	1258646595
2020-01-06	2020-01-15	The Binding Coil of Bahamut	The Binding Coil of Bahamut	4088990502	/html/html_info/challenge_battle/img/banner_event_bounty_colaboBtl03_small_02.png	4088990502
2014-12-31	2014-12-31	The Sparkling Golden Tree 	Gathering Quest	2703465097	/html/html_info/event/test_graphic/main_banner01.jpg	2703465097
2014-12-31	2014-12-31	The Sparkling Golden Tree 	Gathering Quest	3327915361	/html/html_info/event/test_graphic/main_banner01.jpg	3327915361
2014-12-31	2099-06-27	-	-	3179322401		3179322401
2015-12-31	2015-12-31	Divine Quest Team	Divine Clash	99880495	/html/html_info/ANZBATTLE/001_DAISHINRINBEAR/img/main_banner.jpg	99880495
2017-04-06	2018-09-16	Goliath Crusade King Forest Bear	Divine Clash	993176439	/html/html_info/kingbeast/img/banner_event_kingbeast_001_small_00.png	993176439
2017-11-22	2014-12-31	Goliath Crusade Imperial Toad	-	709869838		709869838
2017-11-22	2014-12-31	Goliath Crusade Tidetaur	-	2478054118		2478054118
2022-01-17	2022-01-31	Crusade: Flameduke the Goliath	-	146085372	/html/html_info/kingbeast/img/banner_event_kingbeast_001_small_00.png	146085372
2022-01-24	2022-01-31	Crusade: Flameduke the Shadowburn	-	2974731796	/html/html_info/kingbeast/img/banner_event_kingbeast_001_small_01.png	2974731796
2014-12-31	2099-06-27	!Battle of the Four Goliaths!	Divine Clash	1490178369		1490178369
2014-12-31	2016-03-31	Limited-time Quest	The Hive Queen of the Sky!	2145716628	/html/html_info/ANZBATTLE/001_DAISHINRINBEAR/img/main_banner.jpg	2145716628
2021-12-21	2022-01-03	Emerged! The Wicked Snowman!	Emerged! The Wicked Snowman!	3147362881	/html/html_info/challenge_battle/img/banner_event_bounty_xm18_small_00.png	3147362881
2021-12-27	2022-01-03	Showdown! The Frenzied Frost Demon!	Showdown! The Frenzied Frost Demon!	641116393	/html/html_info/challenge_battle/img/banner_event_bounty_xm18_small_01.png	641116393
2022-03-21	2022-04-04	Urgent Crusade Challenge	New Year's Challenge - Liondance Leon	2127127775	/html/html_info/challenge_battle/img/banner_event_bounty_ny19b_small_00.png	2127127775
2022-03-28	2022-04-04	Urgent Crusade Challenge	New Year's Challenge - Liondance Leon	3888133477	/html/html_info/challenge_battle/img/banner_event_bounty_ny19b_small_01.png	3888133477
2022-01-03	2022-01-17	Fishing Paradise	New Year's Challenge - Liondance Leon	3341991735	/html/html_info/challenge_battle/img/banner_event_bounty_ny19_small_00.png	3341991735
2022-01-10	2022-01-17	Seize the Snapper Thief!	Fishing Paradise	1580985997	/html/html_info/challenge_battle/img/banner_event_bounty_ny19_small_01.png	1580985997
2022-02-07	2022-02-21	Chocolate Mania	Chocolate Mania	871736278	/html/html_info/challenge_battle/img/banner_event_bounty_vt19_small_00.png	871736278
2022-02-14	2022-02-21	Chocolate Carnival	Chocolate Carnival	1321826276	/html/html_info/challenge_battle/img/banner_event_bounty_vt19_small_01.png	1321826276
